Macierz
10
10
29.66	14.78	78.21	82.65	31.71	72.93	26.14	15.64	64.99	83.72	
44.99	36.01	76.51	24.47	83.12	40.11	42.66	50.21	50.64	69.31	
33.08	74.08	60.02	10.01	53.94	89.06	2.45	63.73	64.72	4.81	
64.57	56.98	34.42	98.33	75.33	63.17	26.88	80.42	61.55	37.93	
82.84	61.2	81.61	27.56	96.51	57.69	1.96	96.01	68.33	23.61	
78.49	30.37	52.52	97.64	5.72	26.7	7.55	60.2	1.09	28.73	
1.33	60.41	98.22	90.38	18.48	25.66	33.87	59.75	66.82	93.66	
26.13	37.03	82.49	13.84	58.39	41.54	88.63	49.14	2.84	34.43	
71.29	71.75	40.3	82.44	98.14	87.34	58.96	15.56	20.36	40.94	
43.46	26.92	66.16	54.78	98.24	86.43	55.71	23.3	83.95	91.85	
